"PKDATAROWID","FLGEXKEL","FLGEXAUC","FLGEXSDE","FLGEXST","PKRCOM","PKPCOM","FLGTIME"
119,1,0,0,0,NA,NA,"ACTUAL"
120,1,0,0,0,NA,NA,"ACTUAL"
121,1,0,0,0,NA,NA,"ACTUAL"
122,1,0,0,0,NA,NA,"ACTUAL"
123,1,0,0,0,NA,NA,"ACTUAL"
124,1,0,0,0,NA,NA,"ACTUAL"
125,1,0,0,0,NA,NA,"ACTUAL"
126,1,0,0,0,NA,NA,"ACTUAL"
127,1,0,0,0,NA,NA,"ACTUAL"
128,1,0,0,0,NA,NA,"ACTUAL"
129,1,0,0,0,NA,NA,"ACTUAL"
130,1,0,0,0,NA,NA,"ACTUAL"
131,1,0,0,0,NA,NA,"ACTUAL"
132,1,0,0,0,NA,NA,"ACTUAL"
133,1,0,0,0,NA,NA,"ACTUAL"
134,1,0,0,0,NA,NA,"ACTUAL"
135,1,0,0,0,NA,NA,"ACTUAL"
136,1,0,0,0,NA,NA,"ACTUAL"
137,1,0,0,0,NA,NA,"ACTUAL"
138,1,0,0,0,NA,NA,"ACTUAL"
139,1,0,0,0,NA,NA,"ACTUAL"
140,1,0,0,0,NA,NA,"ACTUAL"
141,1,0,0,0,NA,NA,"ACTUAL"
142,1,0,0,0,NA,NA,"ACTUAL"
143,1,0,0,0,NA,NA,"ACTUAL"
144,1,0,0,0,NA,NA,"ACTUAL"
145,1,0,0,0,NA,NA,"ACTUAL"
146,1,0,0,0,NA,NA,"ACTUAL"
147,1,0,0,0,NA,NA,"ACTUAL"
148,1,0,0,0,NA,NA,"ACTUAL"
149,1,0,0,0,NA,NA,"ACTUAL"
150,1,0,0,0,NA,NA,"ACTUAL"
151,1,0,0,0,NA,NA,"ACTUAL"
152,0,0,0,0,NA,NA,"ACTUAL"
153,0,0,0,0,NA,NA,"ACTUAL"
154,0,0,0,0,NA,NA,"ACTUAL"
155,0,0,0,0,NA,NA,"ACTUAL"
156,1,0,0,0,NA,NA,"ACTUAL"
157,1,0,0,0,NA,NA,"ACTUAL"
158,1,0,0,0,NA,NA,"ACTUAL"
159,1,0,0,0,NA,NA,"ACTUAL"
160,0,0,0,0,NA,NA,"ACTUAL"
161,0,0,0,0,NA,NA,"ACTUAL"
162,0,0,0,0,NA,NA,"ACTUAL"
163,0,0,0,0,NA,NA,"ACTUAL"
164,0,0,0,0,NA,NA,"ACTUAL"
165,0,0,0,0,NA,NA,"ACTUAL"
166,0,0,0,0,NA,NA,"ACTUAL"
167,0,0,0,0,NA,NA,"ACTUAL"
168,1,0,0,0,NA,NA,"ACTUAL"
169,1,0,0,0,NA,NA,"ACTUAL"
170,1,0,0,0,NA,NA,"ACTUAL"
171,1,0,0,0,NA,NA,"ACTUAL"
172,1,0,0,0,NA,NA,"ACTUAL"
173,1,0,0,0,NA,NA,"ACTUAL"
174,1,0,0,0,NA,NA,"ACTUAL"
175,1,0,0,0,NA,NA,"ACTUAL"
176,1,0,0,0,NA,NA,"ACTUAL"
177,0,0,0,0,NA,NA,"ACTUAL"
178,1,0,0,0,NA,NA,"ACTUAL"
179,1,0,0,0,NA,NA,"ACTUAL"
181,0,0,0,0,NA,NA,"ACTUAL"
183,1,0,0,0,NA,NA,"ACTUAL"
184,0,0,0,0,NA,NA,"ACTUAL"
186,1,0,0,0,NA,NA,"ACTUAL"
187,1,0,0,0,NA,NA,"ACTUAL"
188,1,0,0,0,NA,NA,"ACTUAL"
189,1,0,0,0,NA,NA,"ACTUAL"
190,1,0,0,0,NA,NA,"ACTUAL"
191,1,0,0,0,NA,NA,"ACTUAL"
192,1,0,0,0,NA,NA,"ACTUAL"
193,1,0,0,0,NA,NA,"ACTUAL"
194,1,0,0,0,NA,NA,"ACTUAL"
195,1,0,0,0,NA,NA,"ACTUAL"
197,0,0,0,0,NA,NA,"ACTUAL"
199,1,0,0,0,NA,NA,"ACTUAL"
200,0,0,0,0,NA,NA,"ACTUAL"
202,0,0,0,0,NA,NA,"ACTUAL"
203,1,0,0,0,NA,NA,"ACTUAL"
204,1,0,0,0,NA,NA,"ACTUAL"
205,1,0,0,0,NA,NA,"ACTUAL"
206,1,0,0,0,NA,NA,"ACTUAL"
207,1,0,0,0,NA,NA,"ACTUAL"
208,1,0,0,0,NA,NA,"ACTUAL"
209,1,0,0,0,NA,NA,"ACTUAL"
210,1,0,0,0,NA,NA,"ACTUAL"
211,1,0,0,0,NA,NA,"ACTUAL"
212,1,0,0,0,NA,NA,"ACTUAL"
213,1,0,0,0,NA,NA,"ACTUAL"
214,1,0,0,0,NA,NA,"ACTUAL"
215,1,0,0,0,NA,NA,"ACTUAL"
216,1,0,0,0,NA,NA,"ACTUAL"
217,1,0,0,0,NA,NA,"ACTUAL"
218,1,0,0,0,NA,NA,"ACTUAL"
219,1,0,0,0,NA,NA,"ACTUAL"
220,0,0,0,0,NA,NA,"ACTUAL"
221,0,0,0,0,NA,NA,"ACTUAL"
222,1,0,0,0,NA,NA,"ACTUAL"
223,1,0,0,0,NA,NA,"ACTUAL"
224,0,0,0,0,NA,NA,"ACTUAL"
225,0,0,0,0,NA,NA,"ACTUAL"
226,0,0,0,0,NA,NA,"ACTUAL"
227,0,0,0,0,NA,NA,"ACTUAL"
228,1,0,0,0,NA,NA,"ACTUAL"
229,1,0,0,0,NA,NA,"ACTUAL"
230,1,0,0,0,NA,NA,"ACTUAL"
231,1,0,0,0,NA,NA,"ACTUAL"
232,1,0,0,0,NA,NA,"ACTUAL"
233,1,0,0,0,NA,NA,"ACTUAL"
234,1,0,0,0,NA,NA,"ACTUAL"
235,1,0,0,0,NA,NA,"ACTUAL"
236,1,0,0,0,NA,NA,"ACTUAL"
237,1,0,0,0,NA,NA,"ACTUAL"
239,0,0,0,0,NA,NA,"ACTUAL"
241,1,0,0,0,NA,NA,"ACTUAL"
242,0,0,0,0,NA,NA,"ACTUAL"
244,0,0,0,0,NA,NA,"ACTUAL"
245,1,0,0,0,NA,NA,"ACTUAL"
246,1,0,0,0,NA,NA,"ACTUAL"
247,1,0,0,0,NA,NA,"ACTUAL"
248,1,0,0,0,NA,NA,"ACTUAL"
249,1,0,0,0,NA,NA,"ACTUAL"
250,1,0,0,0,NA,NA,"ACTUAL"
251,1,0,0,0,NA,NA,"ACTUAL"
252,1,0,0,0,NA,NA,"ACTUAL"
253,1,0,0,0,NA,NA,"ACTUAL"
254,1,0,0,0,NA,NA,"ACTUAL"
255,1,0,0,0,NA,NA,"ACTUAL"
256,1,0,0,0,NA,NA,"ACTUAL"
257,1,0,0,0,NA,NA,"ACTUAL"
258,1,0,0,0,NA,NA,"ACTUAL"
259,1,0,0,0,NA,NA,"ACTUAL"
260,1,0,0,0,NA,NA,"ACTUAL"
261,1,0,0,0,NA,NA,"ACTUAL"
263,0,0,0,0,NA,NA,"ACTUAL"
264,0,0,0,0,NA,NA,"ACTUAL"
266,1,0,0,0,NA,NA,"ACTUAL"
267,1,0,0,0,NA,NA,"ACTUAL"
268,0,0,0,0,NA,NA,"ACTUAL"
269,0,0,0,0,NA,NA,"ACTUAL"
271,0,0,0,0,NA,NA,"ACTUAL"
272,0,0,0,0,NA,NA,"ACTUAL"
273,1,0,0,0,NA,NA,"ACTUAL"
274,1,0,0,0,NA,NA,"ACTUAL"
275,1,0,0,0,NA,NA,"ACTUAL"
276,1,0,0,0,NA,NA,"ACTUAL"
277,1,0,0,0,NA,NA,"ACTUAL"
278,1,0,0,0,NA,NA,"ACTUAL"
279,1,0,0,0,NA,NA,"ACTUAL"
280,1,0,0,0,NA,NA,"ACTUAL"
281,1,0,0,0,NA,NA,"ACTUAL"
282,1,0,0,0,NA,NA,"ACTUAL"
284,0,0,0,0,NA,NA,"ACTUAL"
286,1,0,0,0,NA,NA,"ACTUAL"
287,0,0,0,0,NA,NA,"ACTUAL"
289,0,0,0,0,NA,NA,"ACTUAL"
290,1,0,0,0,NA,NA,"ACTUAL"
291,1,0,0,0,NA,NA,"ACTUAL"
292,1,0,0,0,NA,NA,"ACTUAL"
293,1,0,0,0,NA,NA,"ACTUAL"
294,1,0,0,0,NA,NA,"ACTUAL"
295,1,0,0,0,NA,NA,"ACTUAL"
296,1,0,0,0,NA,NA,"ACTUAL"
297,1,0,0,0,NA,NA,"ACTUAL"
298,1,0,0,0,NA,NA,"ACTUAL"
299,1,0,0,0,NA,NA,"ACTUAL"
300,1,0,0,0,NA,NA,"ACTUAL"
301,1,0,0,0,NA,NA,"ACTUAL"
302,1,0,0,0,NA,NA,"ACTUAL"
303,1,0,0,0,NA,NA,"ACTUAL"
304,1,0,0,0,NA,NA,"ACTUAL"
305,1,0,0,0,NA,NA,"ACTUAL"
306,1,0,0,0,NA,NA,"ACTUAL"
307,0,0,0,0,NA,NA,"ACTUAL"
308,0,0,0,0,NA,NA,"ACTUAL"
309,1,0,0,0,NA,NA,"ACTUAL"
310,1,0,0,0,NA,NA,"ACTUAL"
311,0,0,0,0,NA,NA,"ACTUAL"
312,0,0,0,0,NA,NA,"ACTUAL"
313,1,0,0,0,NA,NA,"ACTUAL"
314,1,0,0,0,NA,NA,"ACTUAL"
315,1,0,0,0,NA,NA,"ACTUAL"
316,1,0,0,0,NA,NA,"ACTUAL"
317,1,0,0,0,NA,NA,"ACTUAL"
318,1,0,0,0,NA,NA,"ACTUAL"
319,1,0,0,0,NA,NA,"ACTUAL"
320,1,0,0,0,NA,NA,"ACTUAL"
321,1,0,0,0,NA,NA,"ACTUAL"
322,1,0,0,0,NA,NA,"ACTUAL"
323,1,0,0,0,NA,NA,"ACTUAL"
324,1,0,0,0,NA,NA,"ACTUAL"
326,0,0,0,0,NA,NA,"ACTUAL"
328,1,0,0,0,NA,NA,"ACTUAL"
329,0,0,0,0,NA,NA,"ACTUAL"
331,0,0,0,0,NA,NA,"ACTUAL"
332,1,0,0,0,NA,NA,"ACTUAL"
333,1,0,0,0,NA,NA,"ACTUAL"
334,1,0,0,0,NA,NA,"ACTUAL"
335,1,0,0,0,NA,NA,"ACTUAL"
336,1,0,0,0,NA,NA,"ACTUAL"
337,1,0,0,0,NA,NA,"ACTUAL"
338,1,0,0,0,NA,NA,"ACTUAL"
339,1,0,0,0,NA,NA,"ACTUAL"
340,1,0,0,0,NA,NA,"ACTUAL"
342,0,0,0,0,NA,NA,"ACTUAL"
344,1,0,0,0,NA,NA,"ACTUAL"
345,0,0,0,0,NA,NA,"ACTUAL"
347,0,0,0,0,NA,NA,"ACTUAL"
348,1,0,0,0,NA,NA,"ACTUAL"
349,1,0,0,0,NA,NA,"ACTUAL"
350,1,0,0,0,NA,NA,"ACTUAL"
351,1,0,0,0,NA,NA,"ACTUAL"
352,1,0,0,0,NA,NA,"ACTUAL"
353,1,0,0,0,NA,NA,"ACTUAL"
354,1,0,0,0,NA,NA,"ACTUAL"
355,1,0,0,0,NA,NA,"ACTUAL"
356,1,0,0,0,NA,NA,"ACTUAL"
357,1,0,0,0,NA,NA,"ACTUAL"
358,1,0,0,0,NA,NA,"ACTUAL"
359,1,0,0,0,NA,NA,"ACTUAL"
360,1,0,0,0,NA,NA,"ACTUAL"
361,1,0,0,0,NA,NA,"ACTUAL"
362,1,0,0,0,NA,NA,"ACTUAL"
363,1,0,0,0,NA,NA,"ACTUAL"
364,1,0,0,0,NA,NA,"ACTUAL"
365,0,0,0,0,NA,NA,"ACTUAL"
366,0,0,0,0,NA,NA,"ACTUAL"
367,1,0,0,0,NA,NA,"ACTUAL"
368,1,0,0,0,NA,NA,"ACTUAL"
369,0,0,0,0,NA,NA,"ACTUAL"
370,0,0,0,0,NA,NA,"ACTUAL"
371,0,0,0,0,NA,NA,"ACTUAL"
372,0,0,0,0,NA,NA,"ACTUAL"
373,1,0,0,0,NA,NA,"ACTUAL"
374,1,0,0,0,NA,NA,"ACTUAL"
375,1,0,0,0,NA,NA,"ACTUAL"
376,1,0,0,0,NA,NA,"ACTUAL"
377,1,0,0,0,NA,NA,"ACTUAL"
378,1,0,0,0,NA,NA,"ACTUAL"
379,0,0,0,0,NA,NA,"ACTUAL"
380,1,0,0,0,NA,NA,"ACTUAL"
381,1,0,0,0,NA,NA,"ACTUAL"
383,0,0,0,0,NA,NA,"ACTUAL"
385,1,0,0,0,NA,NA,"ACTUAL"
386,0,0,0,0,NA,NA,"ACTUAL"
388,0,0,0,0,NA,NA,"ACTUAL"
389,1,0,0,0,NA,NA,"ACTUAL"
390,0,0,0,0,NA,NA,"ACTUAL"
391,1,0,0,0,NA,NA,"ACTUAL"
392,1,0,0,0,NA,NA,"ACTUAL"
393,1,0,0,0,NA,NA,"ACTUAL"
394,1,0,0,0,NA,NA,"ACTUAL"
395,1,0,0,0,NA,NA,"ACTUAL"
396,1,0,0,0,NA,NA,"ACTUAL"
397,1,0,0,0,NA,NA,"ACTUAL"
398,1,0,0,0,NA,NA,"ACTUAL"
399,0,0,0,0,NA,NA,"ACTUAL"
400,0,0,0,0,NA,NA,"ACTUAL"
401,1,0,0,0,NA,NA,"ACTUAL"
402,1,0,0,0,NA,NA,"ACTUAL"
403,1,0,0,0,NA,NA,"ACTUAL"
404,1,0,0,0,NA,NA,"ACTUAL"
405,0,0,0,0,NA,NA,"ACTUAL"
406,0,0,0,0,NA,NA,"ACTUAL"
407,1,0,0,0,NA,NA,"ACTUAL"
408,1,0,0,0,NA,NA,"ACTUAL"
409,0,0,0,0,NA,NA,"ACTUAL"
410,0,0,0,0,NA,NA,"ACTUAL"
411,0,0,0,0,NA,NA,"ACTUAL"
412,0,0,0,0,NA,NA,"ACTUAL"
413,1,0,0,0,NA,NA,"ACTUAL"
414,1,0,0,0,NA,NA,"ACTUAL"
415,0,0,0,0,NA,NA,"ACTUAL"
416,0,0,0,0,NA,NA,"ACTUAL"
417,1,0,0,0,NA,NA,"ACTUAL"
418,1,0,0,0,NA,NA,"ACTUAL"
419,1,0,0,0,NA,NA,"ACTUAL"
420,1,0,0,0,NA,NA,"ACTUAL"
421,1,0,0,0,NA,NA,"ACTUAL"
422,1,0,0,0,NA,NA,"ACTUAL"
423,1,0,0,0,NA,NA,"ACTUAL"
424,1,0,0,0,NA,NA,"ACTUAL"
425,1,0,0,0,NA,NA,"ACTUAL"
426,1,0,0,0,NA,NA,"ACTUAL"
427,1,0,0,0,NA,NA,"ACTUAL"
428,1,0,0,0,NA,NA,"ACTUAL"
429,1,0,0,0,NA,NA,"ACTUAL"
430,1,0,0,0,NA,NA,"ACTUAL"
431,1,0,0,0,NA,NA,"ACTUAL"
432,1,0,0,0,NA,NA,"ACTUAL"
433,0,0,0,0,NA,NA,"ACTUAL"
434,0,0,0,0,NA,NA,"ACTUAL"
435,0,0,0,0,NA,NA,"ACTUAL"
436,0,0,0,0,NA,NA,"ACTUAL"
437,1,0,0,0,NA,NA,"ACTUAL"
438,1,0,0,0,NA,NA,"ACTUAL"
439,1,0,0,0,NA,NA,"ACTUAL"
440,1,0,0,0,NA,NA,"ACTUAL"
441,1,0,0,0,NA,NA,"ACTUAL"
442,1,0,0,0,NA,NA,"ACTUAL"
443,1,0,0,0,NA,NA,"ACTUAL"
444,1,0,0,0,NA,NA,"ACTUAL"
445,0,0,0,0,NA,NA,"ACTUAL"
446,0,0,0,0,NA,NA,"ACTUAL"
447,0,0,0,0,NA,NA,"ACTUAL"
448,0,0,0,0,NA,NA,"ACTUAL"
449,1,0,0,0,NA,NA,"ACTUAL"
450,1,0,0,0,NA,NA,"ACTUAL"
451,1,0,0,0,NA,NA,"ACTUAL"
452,1,0,0,0,NA,NA,"ACTUAL"
453,0,0,0,0,NA,NA,"ACTUAL"
454,0,0,0,0,NA,NA,"ACTUAL"
455,0,0,0,0,NA,NA,"ACTUAL"
456,0,0,0,0,NA,NA,"ACTUAL"
457,0,0,0,0,NA,NA,"ACTUAL"
458,0,0,0,0,NA,NA,"ACTUAL"
459,0,0,0,0,NA,NA,"ACTUAL"
460,0,0,0,0,NA,NA,"ACTUAL"
461,1,0,0,0,NA,NA,"ACTUAL"
462,1,0,0,0,NA,NA,"ACTUAL"
463,1,0,0,0,NA,NA,"ACTUAL"
464,1,0,0,0,NA,NA,"ACTUAL"
465,0,0,0,0,NA,NA,"ACTUAL"
466,0,0,0,0,NA,NA,"ACTUAL"
467,0,0,0,0,NA,NA,"ACTUAL"
468,0,0,0,0,NA,NA,"ACTUAL"
469,1,0,0,0,NA,NA,"ACTUAL"
470,1,0,0,0,NA,NA,"ACTUAL"
471,1,0,0,0,NA,NA,"ACTUAL"
472,1,0,0,0,NA,NA,"ACTUAL"
473,0,0,0,0,NA,NA,"ACTUAL"
474,1,0,0,0,NA,NA,"ACTUAL"
475,1,0,0,0,NA,NA,"ACTUAL"
477,0,0,0,0,NA,NA,"ACTUAL"
479,1,0,0,0,NA,NA,"ACTUAL"
480,0,0,0,0,NA,NA,"ACTUAL"
482,0,0,0,0,NA,NA,"ACTUAL"
483,1,0,0,0,NA,NA,"ACTUAL"
484,0,0,0,0,NA,NA,"ACTUAL"
485,1,0,0,0,NA,NA,"ACTUAL"
486,1,0,0,0,NA,NA,"ACTUAL"
487,1,0,0,0,NA,NA,"ACTUAL"
488,1,0,0,0,NA,NA,"ACTUAL"
489,0,0,0,0,NA,NA,"ACTUAL"
490,1,0,0,0,NA,NA,"ACTUAL"
491,1,0,0,0,NA,NA,"ACTUAL"
493,0,0,0,0,NA,NA,"ACTUAL"
495,1,0,0,0,NA,NA,"ACTUAL"
496,0,0,0,0,NA,NA,"ACTUAL"
498,0,0,0,0,NA,NA,"ACTUAL"
499,1,0,0,0,NA,NA,"ACTUAL"
500,0,0,0,0,NA,NA,"ACTUAL"
501,1,0,0,0,NA,NA,"ACTUAL"
502,1,0,0,0,NA,NA,"ACTUAL"
503,1,0,0,0,NA,NA,"ACTUAL"
504,1,0,0,0,NA,NA,"ACTUAL"
505,1,0,0,0,NA,NA,"ACTUAL"
506,1,0,0,0,NA,NA,"ACTUAL"
507,1,0,0,0,NA,NA,"ACTUAL"
508,1,0,0,0,NA,NA,"ACTUAL"
509,0,0,0,0,NA,NA,"ACTUAL"
510,0,0,0,0,NA,NA,"ACTUAL"
511,1,0,0,0,NA,NA,"ACTUAL"
512,1,0,0,0,NA,NA,"ACTUAL"
513,1,0,0,0,NA,NA,"ACTUAL"
514,1,0,0,0,NA,NA,"ACTUAL"
516,0,0,0,0,NA,NA,"ACTUAL"
517,0,0,0,0,NA,NA,"ACTUAL"
519,1,0,0,0,NA,NA,"ACTUAL"
520,1,0,0,0,NA,NA,"ACTUAL"
521,0,0,0,0,NA,NA,"ACTUAL"
522,0,0,0,0,NA,NA,"ACTUAL"
524,0,0,0,0,NA,NA,"ACTUAL"
525,0,0,0,0,NA,NA,"ACTUAL"
526,1,0,0,0,NA,NA,"ACTUAL"
527,1,0,0,0,NA,NA,"ACTUAL"
528,0,0,0,0,NA,NA,"ACTUAL"
529,0,0,0,0,NA,NA,"ACTUAL"
530,1,0,0,0,NA,NA,"ACTUAL"
531,1,0,0,0,NA,NA,"ACTUAL"
532,1,0,0,0,NA,NA,"ACTUAL"
533,1,0,0,0,NA,NA,"ACTUAL"
534,0,0,0,0,NA,NA,"ACTUAL"
535,1,0,0,0,NA,NA,"ACTUAL"
536,1,0,0,0,NA,NA,"ACTUAL"
537,0,0,0,0,NA,NA,"ACTUAL"
538,1,0,0,0,NA,NA,"ACTUAL"
539,0,0,0,0,NA,NA,"ACTUAL"
540,0,0,0,0,NA,NA,"ACTUAL"
541,1,0,0,0,NA,NA,"ACTUAL"
542,0,0,0,0,NA,NA,"ACTUAL"
543,1,0,0,0,NA,NA,"ACTUAL"
544,1,0,0,0,NA,NA,"ACTUAL"
545,1,0,0,0,NA,NA,"ACTUAL"
546,1,0,0,0,NA,NA,"ACTUAL"
547,0,0,0,0,NA,NA,"ACTUAL"
548,1,0,0,0,NA,NA,"ACTUAL"
549,1,0,0,0,NA,NA,"ACTUAL"
551,0,0,0,0,NA,NA,"ACTUAL"
553,1,0,0,0,NA,NA,"ACTUAL"
554,0,0,0,0,NA,NA,"ACTUAL"
556,0,0,0,0,NA,NA,"ACTUAL"
557,1,0,0,0,NA,NA,"ACTUAL"
558,0,0,0,0,NA,NA,"ACTUAL"
559,1,0,0,0,NA,NA,"ACTUAL"
560,1,0,0,0,NA,NA,"ACTUAL"
561,1,0,0,0,NA,NA,"ACTUAL"
562,1,0,0,0,NA,NA,"ACTUAL"
563,0,0,0,0,NA,NA,"ACTUAL"
564,1,0,0,0,NA,NA,"ACTUAL"
565,1,0,0,0,NA,NA,"ACTUAL"
567,0,0,0,0,NA,NA,"ACTUAL"
569,1,0,0,0,NA,NA,"ACTUAL"
570,0,0,0,0,NA,NA,"ACTUAL"
572,0,0,0,0,NA,NA,"ACTUAL"
573,1,0,0,0,NA,NA,"ACTUAL"
574,0,0,0,0,NA,NA,"ACTUAL"
575,1,0,0,0,NA,NA,"ACTUAL"
576,1,0,0,0,NA,NA,"ACTUAL"
577,1,0,0,0,NA,NA,"ACTUAL"
578,1,0,0,0,NA,NA,"ACTUAL"
579,0,0,0,0,NA,NA,"ACTUAL"
580,1,0,0,0,NA,NA,"ACTUAL"
581,1,0,0,0,NA,NA,"ACTUAL"
582,0,0,0,0,NA,NA,"ACTUAL"
583,1,0,0,0,NA,NA,"ACTUAL"
584,0,0,0,0,NA,NA,"ACTUAL"
585,0,0,0,0,NA,NA,"ACTUAL"
586,1,0,0,0,NA,NA,"ACTUAL"
587,0,0,0,0,NA,NA,"ACTUAL"
588,1,0,0,0,NA,NA,"ACTUAL"
589,1,0,0,0,NA,NA,"ACTUAL"
590,1,0,0,0,NA,NA,"ACTUAL"
591,1,0,0,0,NA,NA,"ACTUAL"
592,0,0,0,0,NA,NA,"ACTUAL"
593,1,0,0,0,NA,NA,"ACTUAL"
594,1,0,0,0,NA,NA,"ACTUAL"
596,0,0,0,0,NA,NA,"ACTUAL"
598,1,0,0,0,NA,NA,"ACTUAL"
599,0,0,0,0,NA,NA,"ACTUAL"
601,0,0,0,0,NA,NA,"ACTUAL"
602,1,0,0,0,NA,NA,"ACTUAL"
603,0,0,0,0,NA,NA,"ACTUAL"
604,1,0,0,0,NA,NA,"ACTUAL"
605,1,0,0,0,NA,NA,"ACTUAL"
606,1,0,0,0,NA,NA,"ACTUAL"
607,1,0,0,0,NA,NA,"ACTUAL"
608,1,0,0,0,NA,NA,"ACTUAL"
609,1,0,0,0,NA,NA,"ACTUAL"
610,1,0,0,0,NA,NA,"ACTUAL"
611,1,0,0,0,NA,NA,"ACTUAL"
